ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
13,Hidalgo,1,SI,Disperso 2,400091,205623,194468,20243,9993,10250,141827,22567,11171,11396,48845,24239,24606,26019,12807,13212,5265,2527,2738,1039,493,546,1520,704,816,200815,103091,97724
13,Hidalgo,2,SI,Disperso 2,405262,211624,193638,18733,9416,9317,130527,21463,10554,10909,45768,22650,23118,22688,11330,11358,7881,3870,4011,889,410,479,1159,482,677,89009,45584,43425
13,Hidalgo,3,NO,Disperso 1,416056,216544,199512,17273,8583,8690,127461,20704,10215,10489,44749,22089,22660,22477,11108,11369,8294,4079,4215,1179,558,621,1154,477,677,8540,4344,4196
13,Hidalgo,4,NO,Disperso 1,417765,219001,198764,21026,10389,10637,138735,22125,10944,11181,47315,23438,23877,24369,12108,12261,9638,4749,4889,1768,819,949,2222,924,1298,39888,21303,18585
13,Hidalgo,5,NO,Concentración Media,470382,241880,228502,20520,10255,10265,142643,23806,11734,12072,49040,24061,24979,24634,12174,12460,9054,4467,4587,1459,711,748,1453,632,821,5591,2800,2791
13,Hidalgo,6,NO,Concentrado 2,526882,273919,252963,20410,10060,10350,149543,24850,12318,12532,49931,24628,25303,27028,13397,13631,8943,4396,4547,1320,639,681,1278,568,710,13295,6825,6470
13,Hidalgo,7,NO,Concentración Media,446403,232871,213532,16533,8074,8459,128139,20971,10396,10575,44363,22100,22263,22968,11354,11614,7342,3625,3717,1233,609,624,1097,494,603,5491,2849,2642
14,Jalisco,1,NO,Muy Disperso 1,391749,199045,192704,21211,10514,10697,135023,22294,11197,11097,46856,23192,23664,22581,11098,11483,8696,4353,4343,2254,1052,1202,2609,1136,1473,23917,12165,11752
14,Jalisco,10,NO,Concentrado 1,411067,211162,199905,15454,7588,7866,100597,17713,8739,8974,32568,15959,16609,17065,8229,8836,6041,2965,3076,1939,946,993,1691,769,922,5740,3055,2685
14,Jalisco,11,NO,Altamente Concentrado 1,342872,177645,165227,12358,6057,6301,87739,14915,7392,7523,28958,14354,14604,15184,7447,7737,5674,2833,2841,1506,721,785,1219,560,659,652,293,359
14,Jalisco,12,NO,Concentrado 2,726488,366876,359612,36673,18221,18452,257797,44149,21777,22372,90576,44463,46113,44321,21828,22493,19496,9452,10044,5636,2632,3004,4940,2261,2679,4057,1928,2129
14,Jalisco,13,NO,Altamente Concentrado 2,414116,211079,203037,17877,8861,9016,115240,19855,9924,9931,38442,18773,19669,19315,9545,9770,7118,3515,3603,1669,788,881,1612,754,858,2497,1220,1277
14,Jalisco,14,NO,Altamente Concentrado 2,344173,178254,165919,12055,5934,6121,84568,14395,7146,7249,28416,13844,14572,14614,7224,7390,5059,2457,2602,1254,574,680,1156,500,656,1399,671,728
14,Jalisco,15,NO,Concentración Media,422357,215549,206808,22973,11323,11650,142566,24533,12113,12420,48669,24060,24609,23441,11564,11877,11136,5465,5671,2428,1121,1307,3750,1722,2028,580,257,323
14,Jalisco,16,NO,Altamente Concentrado 2,418419,212149,206270,20113,10060,10053,129763,22367,11093,11274,43071,21177,21894,21853,10753,11100,9646,4728,4918,2486,1207,1279,2340,1029,1311,1862,888,974
14,Jalisco,17,NO,Concentración Media,375254,189708,185546,19055,9459,9596,123916,20728,10344,10384,42300,20929,21371,21463,10072,11391,7928,3876,4052,2350,1087,1263,2887,1302,1585,2105,585,1520
14,Jalisco,18,NO,Disperso 2,372027,188067,183960,18191,9063,9128,118065,19614,9608,10006,40937,20200,20737,20040,9931,10109,5767,2808,2959,1662,780,882,1952,840,1112,3232,1555,1677
14,Jalisco,19,NO,Disperso 1,396027,201584,194443,18986,9426,9560,120939,20193,9913,10280,41891,20574,21317,20133,9883,10250,7118,3410,3708,1976,880,1096,2130,968,1162,3690,1269,2421
14,Jalisco,2,NO,Disperso 1,374724,192084,182640,20761,10210,10551,128751,22346,10968,11378,43369,21501,21868,21417,10640,10777,10044,4840,5204,1828,863,965,2686,1186,1500,274,110,164
14,Jalisco,20,NO,Concentrado 2,527417,259666,267751,27192,13364,13828,181539,31569,15595,15974,63431,31135,32296,30298,14850,15448,14453,7081,7372,3811,1731,2080,3937,1745,2192,1800,772,1028
14,Jalisco,3,NO,Disperso 1,431340,221366,209974,22183,10943,11240,141851,24033,11919,12114,47957,23420,24537,23625,11725,11900,10776,5243,5533,2351,1137,1214,3550,1568,1982,737,243,494
14,Jalisco,4,NO,Altamente Concentrado 2,390339,199622,190717,16138,7977,8161,106043,18156,8964,9192,34695,17046,17649,18237,8891,9346,6818,3315,3503,1848,877,971,1766,766,1000,1594,800,794
14,Jalisco,5,NO,Disperso 1,385654,192183,193471,18454,9120,9334,116650,19078,9353,9725,40122,19720,20402,19878,9822,10056,7408,3582,3826,1748,831,917,1615,704,911,3810,1845,1965
14,Jalisco,6,NO,Concentrado 1,534366,272438,261928,24906,12510,12396,157677,28673,14255,14418,52403,25652,26751,25673,12609,13064,10134,5024,5110,2504,1194,1310,2076,957,1119,5931,3030,2901
14,Jalisco,7,NO,Altamente Concentrado 2,391848,198816,193032,16488,8045,8443,121765,20210,10089,10121,42266,20794,21472,21057,10376,10681,8465,4171,4294,1955,913,1042,2083,895,1188,990,471,519
14,Jalisco,8,NO,Altamente Concentrado 2,345181,181205,163976,9051,4474,4577,63691,10609,5249,5360,21173,10584,10589,10727,5182,5545,2986,1410,1576,1081,520,561,766,354,412,1513,820,693
14,Jalisco,9,NO,Altamente Concentrado 2,352733,181198,171535,14026,6923,7103,96965,16497,8184,8313,32238,15810,16428,16657,8186,8471,6233,3052,3181,1434,704,730,1302,563,739,583,257,326
15,México,1,NO,Disperso 1,433002,222404,210598,23177,11403,11774,148427,24839,12298,12541,49383,24320,25063,25508,12630,12878,10074,4863,5211,1500,752,748,1894,822,1072,35346,18773,16573
15,México,10,NO,Altamente Concentrado 2,366386,188133,178253,14036,7001,7035,101693,17196,8545,8651,33494,16352,17142,18226,8958,9268,6429,3226,3203,1677,767,910,1341,584,757,4394,2228,2166
15,México,11,NO,Altamente Concentrado 2,371103,190549,180554,14981,7575,7406,102013,17683,8717,8966,33726,16557,17169,17762,8895,8867,7258,3575,3683,1882,913,969,1393,637,756,7366,3857,3509
15,México,12,NO,Altamente Concentrado 2,398661,205691,192970,16755,8256,8499,116453,18768,9353,9415,38953,19072,19881,20674,10206,10468,7035,3466,3569,1570,800,770,1328,591,737,8198,4279,3919
15,México,13,NO,Altamente Concentrado 1,344054,178170,165884,11523,5728,5795,83468,14233,7062,7171,27845,13581,14264,14735,7308,7427,5143,2530,2613,1527,755,772,1059,482,577,3332,1695,1637
15,México,14,NO,Altamente Concentrado 2,386731,196355,190376,12150,5927,6223,88529,15265,7433,7832,29414,14413,15001,15588,7642,7946,5250,2534,2716,1603,781,822,1139,492,647,3350,1710,1640
15,México,15,NO,Altamente Concentrado 2,396148,204514,191634,14024,6819,7205,100852,17398,8653,8745,33803,16663,17140,17486,8695,8791,6646,3316,3330,1765,867,898,1311,608,703,5328,2886,2442
15,México,16,NO,Altamente Concentrado 2,373975,191920,182055,15936,7941,7995,107938,18688,9215,9473,35934,17613,18321,18562,9160,9402,8524,4194,4330,2081,1030,1051,1707,781,926,9420,4913,4507
15,México,17,NO,Altamente Concentrado 1,336642,173300,163342,11781,5819,5962,84689,14511,7061,7450,28226,13923,14303,14829,7349,7480,5266,2553,2713,1639,794,845,1219,561,658,4059,2033,2026
15,México,18,NO,Concentrado 2,471180,243475,227705,20623,10164,10459,139094,23289,11520,11769,46314,22902,23412,24244,12070,12174,8844,4386,4458,2312,1139,1173,1761,847,914,10813,5826,4987
15,México,19,NO,Altamente Concentrado 1,362213,188667,173546,9990,4845,5145,76936,12925,6430,6495,25288,12408,12880,13866,6811,7055,4160,2003,2157,1447,723,724,1035,490,545,2596,1378,1218
15,México,2,NO,Concentrado 1,422202,216124,206078,17509,8608,8901,122930,19982,9864,10118,41810,20495,21315,21960,10835,11125,7475,3704,3771,2092,975,1117,1628,760,868,3757,1881,1876
15,México,20,NO,Altamente Concentrado 1,356656,184714,171942,11341,5634,5707,85184,14763,7220,7543,28173,13749,14424,15175,7434,7741,4710,2246,2464,1592,758,834,1159,539,620,4942,2516,2426
15,México,21,NO,Concentrado 2,389885,201058,188827,18479,9166,9313,120242,19924,9947,9977,39785,19598,20187,20724,10382,10342,7842,3876,3966,1943,932,1011,1592,723,869,2720,1436,1284
15,México,22,NO,Concentrado 1,431691,224322,207369,14002,6754,7248,103976,17412,8613,8799,34263,16891,17372,18798,9293,9505,6977,3425,3552,1940,978,962,1473,684,789,7102,3854,3248
15,México,23,NO,Concentrado 2,452579,231455,221124,22153,11014,11139,145451,23903,11874,12029,49640,24569,25071,24706,12309,12397,9062,4359,4703,1937,955,982,1550,724,826,7376,3639,3737
15,México,24,NO,Altamente Concentrado 1,398687,205519,193168,15621,7748,7873,107670,18583,9214,9369,35568,17471,18097,18796,9267,9529,7515,3690,3825,2221,1027,1194,1522,743,779,11535,5996,5539
15,México,25,NO,Altamente Concentrado 1,382162,195792,186370,19055,9360,9695,124062,21348,10552,10796,42075,20537,21538,20952,10388,10564,9189,4539,4650,1991,924,1067,1900,817,1083,10296,5376,4920
15,México,26,NO,Concentrado 2,479153,246182,232971,22521,11226,11295,151848,25819,12764,13055,51062,25178,25884,26441,13119,13322,10087,5003,5084,2088,1045,1043,1809,802,1007,21398,11039,10359
15,México,27,NO,Concentrado 1,465912,241115,224797,18689,9386,9303,133110,21857,10813,11044,44913,22182,22731,23533,11761,11772,7409,3673,3736,1700,808,892,1363,629,734,1820,934,886
15,México,28,NO,Concentrado 2,561903,286816,275087,24103,11931,12172,186470,29520,14669,14851,66212,32521,33691,34694,17161,17533,11907,5925,5982,2522,1223,1299,2261,982,1279,6398,3242,3156
15,México,29,NO,Altamente Concentrado 1,350782,180772,170010,11215,5492,5723,84064,14049,6982,7067,27732,13781,13951,15201,7638,7563,4866,2444,2422,1415,675,740,1043,505,538,3743,1924,1819
15,México,3,NO,Concentración Media,452800,236055,216745,23320,11635,11685,155052,25527,12640,12887,52379,26185,26194,27108,13594,13514,9567,4688,4879,1367,621,746,1577,667,910,50712,27670,23042
15,México,30,NO,Altamente Concentrado 2,435373,223329,212044,20526,9920,10606,141202,24438,12137,12301,46468,23159,23309,24452,12255,12197,10751,5284,5467,2565,1270,1295,2257,1031,1226,10383,5420,4963
15,México,31,NO,Altamente Concentrado 1,352324,182842,169482,12098,5955,6143,90687,15588,7761,7827,30463,15136,15327,15793,7845,7948,5642,2780,2862,1353,687,666,1100,468,632,3901,2020,1881
15,México,32,NO,Altamente Concentrado 2,391584,200978,190606,19217,9521,9696,125370,22232,11050,11182,41573,20437,21136,21408,10745,10663,9079,4401,4678,2012,945,1067,1778,823,955,10790,5630,5160
15,México,33,NO,Concentrado 1,428219,221361,206858,19747,9782,9965,137606,22386,10971,11415,45459,22332,23127,25690,13741,11949,8745,4252,4493,2390,1124,1266,1862,849,1013,8125,4679,3446
15,México,34,NO,Concentrado 1,427460,223306,204154,15812,7683,8129,110952,18316,8973,9343,36737,18145,18592,19819,9746,10073,6261,3064,3197,1638,807,831,1128,545,583,1763,879,884
15,México,35,NO,Concentración Media,431697,221172,210525,24912,12287,12625,151649,25123,12348,12775,51769,25527,26242,25183,12442,12741,9821,4717,5104,2067,962,1105,3218,1374,1844,990,432,558
15,México,36,NO,Disperso 2,390046,200769,189277,23132,11467,11665,142160,24597,12215,12382,48682,23898,24784,23293,11662,11631,9477,4606,4871,1755,862,893,2393,1103,1290,4241,2183,2058
15,México,37,NO,Concentrado 2,429933,219548,210385,17403,8622,8781,126670,20212,10063,10149,43166,21363,21803,23045,11449,11596,8048,4022,4026,2286,1094,1192,1799,856,943,3921,1912,2009
15,México,38,NO,Concentrado 2,422091,216160,205931,18014,8845,9169,125451,19592,9709,9883,42141,20666,21475,22186,10920,11266,7182,3500,3682,1715,809,906,1607,677,930,9140,4548,4592
15,México,39,NO,Altamente Concentrado 2,408163,209027,199136,19423,9594,9829,127589,22299,11000,11299,42404,20899,21505,21591,10538,11053,9215,4451,4764,2285,1101,1184,1833,807,1026,12135,6260,5875
15,México,4,NO,Concentrado 1,441964,226729,215235,18802,9229,9573,131901,20866,10527,10339,45059,22367,22692,23331,11653,11678,8835,4396,4439,1558,769,789,1421,643,778,9715,5046,4669
15,México,40,NO,Concentración Media,475795,241781,234014,24455,12039,12416,160797,26223,12916,13307,54816,26941,27875,28074,13953,14121,10710,5271,5439,1987,929,1058,2129,988,1141,26220,13731,12489
15,México,41,NO,Concentrado 1,545448,280923,264525,18315,9015,9300,160878,24622,12237,12385,57236,28130,29106,30471,15046,15425,8339,4093,4246,2642,1294,1348,1947,931,1016,4860,2475,2385
15,México,5,NO,Concentrado 2,424436,214656,209780,17967,9004,8963,128203,20315,10044,10271,43018,21116,21902,23311,11570,11741,7679,3795,3884,1930,932,998,1649,742,907,4112,2101,2011
15,México,6,NO,Altamente Concentrado 2,392069,202570,189499,13707,6869,6838,100349,17291,8551,8740,32810,16050,16760,17838,8738,9100,5515,2720,2795,1431,674,757,1110,500,610,3594,1758,1836
15,México,7,NO,Altamente Concentrado 2,410724,212039,198685,13418,6590,6828,102880,16915,8236,8679,33985,16526,17459,18871,9399,9472,5560,2696,2864,1657,751,906,1204,567,637,3250,1622,1628
15,México,8,NO,Altamente Concentrado 2,357044,182915,174129,14202,6971,7231,96774,16257,8108,8149,32150,15719,16431,16860,8278,8582,6583,3257,3326,1772,857,915,1290,551,739,3849,1924,1925
15,México,9,NO,Disperso 1,443541,227916,215625,29999,14941,15058,177990,29857,14906,14951,58672,29111,29561,29939,15016,14923,17761,8885,8876,2132,1007,1125,4605,2186,2419,70613,38426,32187
16,Michoacán de Ocampo,1,NO,Disperso 2,367512,185169,182343,20037,9853,10184,124061,21606,10670,10936,43229,21222,22007,19956,9987,9969,7630,3710,3920,2180,1010,1170,2224,971,1253,2076,983,1093
16,Michoacán de Ocampo,10,NO,Concentrado 1,416750,218072,198678,16282,8057,8225,108318,18091,8973,9118,36218,17833,18385,18484,8961,9523,5260,2509,2751,1083,527,556,1140,491,649,2484,1072,1412
16,Michoacán de Ocampo,11,NO,Disperso 2,412061,211227,200834,25526,12558,12968,146613,25613,12814,12799,50280,24845,25435,22927,11325,11602,8534,4146,4388,2746,1289,1457,3613,1526,2087,8437,4360,4077
16,Michoacán de Ocampo,12,NO,Disperso 2,360919,180928,179991,21694,10722,10972,128375,22565,11158,11407,44202,21830,22372,20596,10129,10467,8622,4254,4368,3379,1556,1823,4051,1705,2346,13181,6452,6729
16,Michoacán de Ocampo,2,NO,Disperso 1,420273,215927,204346,20006,9836,10170,132220,21839,10945,10894,45712,22595,23117,22691,11230,11461,7374,3653,3721,1571,718,853,2558,1107,1451,726,276,450
16,Michoacán de Ocampo,3,NO,Muy Disperso 1,366699,188145,178554,20858,10393,10465,127247,22094,10937,11157,42926,21353,21573,21126,10394,10732,8159,3934,4225,2084,996,1088,2914,1270,1644,5318,2832,2486
16,Michoacán de Ocampo,4,NO,Concentración Media,400504,205966,194538,21690,10739,10951,130513,22354,11139,11215,44492,21914,22578,21108,10437,10671,8471,4176,4295,2543,1190,1353,4187,1866,2321,23350,11966,11384
16,Michoacán de Ocampo,5,NO,Concentración Media,403252,208528,194724,19655,9757,9898,126909,22077,10962,11115,43552,21371,22181,21186,10468,10718,9749,4810,4939,3302,1568,1734,4264,2012,2252,2452,1169,1283
16,Michoacán de Ocampo,6,NO,Disperso 1,397351,206077,191274,23242,11550,11692,138966,24169,11965,12204,47214,23382,23832,22552,11283,11269,8319,4081,4238,1778,821,957,3026,1224,1802,463,216,247
16,Michoacán de Ocampo,7,NO,Concentración Media,413419,213647,199772,22850,11256,11594,136339,23664,11724,11940,46592,23228,23364,22112,10946,11166,8442,4138,4304,2691,1259,1432,3813,1816,1997,73211,38169,35042
16,Michoacán de Ocampo,8,NO,Concentrado 2,433320,224343,208977,20417,10173,10244,129911,22281,10992,11289,43908,21495,22413,21768,10835,10933,7612,3749,3863,1381,650,731,1606,676,930,3017,1377,1640
16,Michoacán de Ocampo,9,NO,Concentrado 2,356786,184476,172310,19543,9733,9810,115122,20296,10036,10260,38866,19239,19627,18178,8941,9237,7200,3498,3702,1862,881,981,2270,992,1278,20228,10220,10008
17,Morelos,1,NO,Concentrado 1,376292,198538,177754,13488,6526,6962,93002,15637,7754,7883,30276,14953,15323,16578,8266,8312,4396,2213,2183,1091,519,572,937,421,516,4756,2536,2220
17,Morelos,2,NO,Concentrado 1,401737,206897,194840,16644,8254,8390,115318,19074,9315,9759,39318,19354,19964,19955,9783,10172,7187,3499,3688,1464,677,787,1544,673,871,3924,2001,1923
17,Morelos,3,NO,Concentrado 2,394432,203503,190929,17911,8793,9118,118719,19661,9532,10129,40337,19832,20505,20248,9855,10393,7925,3773,4152,1889,890,999,2203,890,1313,9833,5099,4734
17,Morelos,4,NO,Concentrado 2,389277,201638,187639,16153,7969,8184,114181,19031,9475,9556,38869,19300,19569,19909,9801,10108,7985,3972,4013,1856,907,949,1967,819,1148,8469,4270,4199
17,Morelos,5,NO,Concentrado 2,409782,210097,199685,18613,9283,9330,127523,21158,10484,10674,43552,21407,22145,22139,10907,11232,8359,4123,4236,1870,821,1049,2238,877,1361,11128,5603,5525
18,Nayarit,1,NO,Disperso 2,357383,177307,180076,18073,8844,9229,120879,19646,9514,10132,43427,21275,22152,20606,10042,10564,6830,3248,3582,2035,945,1090,2154,942,1212,47117,24225,22892
18,Nayarit,2,NO,Concentrado 2,427830,219752,208078,17913,8739,9174,125225,21142,10487,10655,42983,21058,21925,21651,10524,11127,6558,3199,3359,1117,523,594,1170,454,716,10636,5271,5365
18,Nayarit,3,NO,Disperso 1,450243,226119,224124,23563,11722,11841,148353,25637,12617,13020,51208,25322,25886,25029,12406,12623,10420,5088,5332,2204,1078,1126,2314,951,1363,11316,5691,5625
19,Nuevo León,1,NO,Concentrado 1,439175,223565,215610,17818,8882,8936,111181,20380,10149,10231,36300,17678,18622,17867,8784,9083,6887,3320,3567,1531,743,788,1045,477,568,6754,3907,2847
19,Nuevo León,10,NO,Concentrado 1,395977,200260,195717,13104,6397,6707,84459,15087,7363,7724,26845,13138,13707,14066,6822,7244,4748,2286,2462,1593,760,833,1056,472,584,5638,2966,2672
19,Nuevo León,11,NO,Altamente Concentrado 2,366752,185759,180993,12036,6095,5941,82564,13575,6623,6952,26650,13243,13407,14585,7047,7538,4406,2177,2229,1152,540,612,840,373,467,2373,1140,1233
19,Nuevo León,12,NO,Concentración Media,707925,348954,358971,37776,18569,19207,242093,44063,21904,22159,84063,41155,42908,39233,19327,19906,19096,9489,9607,3381,1656,1725,2957,1392,1565,14959,6896,8063
19,Nuevo León,2,NO,Concentrado 1,554959,274405,280554,27191,13405,13786,168405,29657,14604,15053,56632,27684,28948,27949,13759,14190,10561,5164,5397,2007,979,1028,1396,708,688,6288,2821,3467
19,Nuevo León,3,NO,Concentrado 1,481205,239053,242152,22774,11235,11539,152962,26325,12951,13374,52215,25754,26461,25840,12822,13018,9846,4812,5034,1670,832,838,1704,810,894,6397,3061,3336
19,Nuevo León,4,NO,Altamente Concentrado 2,412632,209458,203174,12328,6109,6219,82974,13928,6850,7078,26420,12893,13527,14447,7046,7401,4285,2074,2211,1146,523,623,780,371,409,1737,768,969
19,Nuevo León,5,NO,Altamente Concentrado 2,318965,158800,160165,15124,7457,7667,94902,16993,8295,8698,29806,14625,15181,16118,7892,8226,6790,3241,3549,1427,661,766,1264,570,694,2440,1192,1248
19,Nuevo León,6,NO,Altamente Concentrado 2,421488,215855,205633,13315,6504,6811,89138,15622,7544,8078,28728,14075,14653,15245,7533,7712,4615,2210,2405,1489,663,826,949,427,522,3039,1681,1358
19,Nuevo León,7,NO,Disperso 2,840624,415157,425467,49407,24778,24629,297571,56694,28028,28666,0,51087,52572,46165,22914,23251,23811,0,11998,3725,1791,1934,3384,1586,1798,24727,11582,13145
19,Nuevo León,8,NO,Altamente Concentrado 2,434735,217382,217353,18921,9371,9550,125503,21084,10356,10728,41265,20373,20892,21825,10730,11095,7362,3569,3793,1317,610,707,1009,475,534,2141,990,1151
19,Nuevo León,9,NO,Muy Disperso 2,410005,204844,205161,18372,9195,9177,123177,20763,10435,10328,41754,20566,21188,21434,10512,10922,7322,3635,3687,1739,859,880,1799,795,1004,1452,682,770
20,Oaxaca,1,SI,Disperso 1,387173,201962,185211,19832,9965,9867,127977,21994,10875,11119,43038,21366,21672,21995,10847,11148,7151,3467,3684,1569,741,828,1913,822,1091,102247,54245,48002
